Company Name,Job Posting Time,Number of Applicants,Seniority Level,Company Industry,Detail description,Employment Type,Job Function,Size of Employee,Keyword
NRI (Nomura Research Institute),1 month ago,<25,Entry level,"Marketing and Advertising,Online Media,Internet",Developing and maintaining ETL pipelines from various data sources Developing data cleansing mechanism Build efficient & high performing data pipelines that could handle huge amount of traffics/data    Show more,Contract,Information Technology,,Data Engineer
Horangi Cyber Security,3 weeks ago,<25,Executive,"Computer & Network Security,Information Technology and Services,Computer Software","Building a Safer Cyberspace: At Horangi, we’re passionate about building safer cyberspace and creating software and services that solve challenging cybersecurity problems. Horangi focuses on building partnerships with our customers, developing an understanding of their business goals and building a security strategy that helps achieve their objectives. Horangi’s personnel have extensive engineering experience and a strong background in penetration testing, incident response and strategic consulting including both large multinational networks and small organisations with focused missions. We enjoy solving tough security problems and we are eager to find new challenges and build new relationships.       Show more",Full-time,"Information Technology,Consulting,Engineering",,Data Engineer
Niagahoster,2 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","We are Niagahoster, a tech company based in Yogyakarta that provides web-hosting services. To make Niagahoster's analytics database and data pipeline is well forged on a solid and reliable architecture, we need a Data Engineer. If you are ready to be our Data Engineer, join our team now!             Show more",Full-time,Information Technology,,Data Engineer
Horangi Cyber Security,3 weeks ago,<25,Executive,"Computer & Network Security,Information Technology and Services,Computer Software","Building a Safer Cyberspace: At Horangi, we’re passionate about building safer cyberspace and creating software and services that solve challenging cybersecurity problems. Horangi focuses on building partnerships with our customers, developing an understanding of their business goals and building a security strategy that helps achieve their objectives. Horangi’s personnel have extensive engineering experience and a strong background in penetration testing, incident response and strategic consulting including both large multinational networks and small organisations with focused missions. We enjoy solving tough security problems and we are eager to find new challenges and build new relationships.       Show more",Full-time,"Information Technology,Consulting,Engineering",,Data Engineer
Ajaib,2 weeks ago,<25,Executive,"Computer Software,Internet,Financial Services","Company Description  Ajaib is a financial technology company that provides a modern digital experience for beginners and seasoned investors alike. Our mission is to enable our customers to achieve financial freedom. Financial systems are the backbone of any country's economy and wealth so we bear heavy responsibility for our customers. Our software engineers work on a variety of projects ranging from bleeding-edge innovations in financial systems to exciting consumer products. We never stop learning and we always seek ways to improve. If you want to apply your knowledge and skills to impact millions of lives, join our team.   Qualifications Show more",Full-time,Information Technology,,Data Engineer
Michael Page,6 months ago,<25,Entry level,"Telecommunications,Biotechnology,Information Technology and Services",Digital Product Manager - Mandarin Speaker Competitive remuneration package Work with leading industry player  About Our Client  Tech-based companies and leading player in their respective industry.               Show more,Full-time,"Product Management,Marketing",,Data Engineer
Snaphunt,21 hours ago,<25,Entry level,,"The Offer Drive data-driven decision making within an innovative PropTech startup Work with a talented and passionate team! The Job    Gaining a strong grasp of business requirements and translating them to technical system requirements Building models for data analytics projects Developing new initiatives to improve data reliability and efficiency as well as support the increase in data volume Implementing coding standards and best practices Improving data accessibility to drive data-driven decision making The Profile You have at least 2 years of experience as a Data Engineer role. Proficiency with Python and experience writing and optimising SQL queries is required for the role Experience with BI tools will be advantageous You have strong analytical and problem-solving skills to debug data issues You are resilient and are able to work in fast-paced environments You show a strong willingness to learn and are open to feedback You a strong team player with the ability to communicate and present well. The Employer  Our client is a property platform with a presence in multiple countries within Southeast Asia. Driven by technology, they have a fast-growing team that is providing an easy and transparent process for property seekers. Show more",Full-time,Information Technology,,Data Engineer
Sinbad,3 days ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","As a Data Engineer, you will be joining a cool team of data engineers and fanatics, conducting research and applying the latest technologies in the function of our customer needs. You will have the responsibility to design, build, support, and maintain scalable infrastructure to optimize data flow. You will be a key contributor in driving Sinbad’s mission to simplify the supply chain by connecting suppliers and traditional retailers through the use of data.           Show more",Full-time,Information Technology,,Data Engineer
NuWorq,3 weeks ago,<25,Entry level,"Information Technology and Services,Banking,Financial Services","Our client, a financial service company based in South Jakarta are looking for Data Engineer.  Responsibilities    Show more",Full-time,Information Technology,,Data Engineer
Brick,4 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","About Us  Brick (https://www.onebrick.io/) is an early stage financial infrastructure startup supported by some of the leading VCs in Southeast Asia.  The Brick team has been rethinking financial services at top fintech the past 9 years. Now, we are on a mission to democratize financial services in Southeast Asia - by empowering innovators to build amazing products and solve big problems - starting with financial data APIs that allow fintech developers to create easy and accessible experiences for their users    We are looking for a savvy Data Engineer to join our growing team of software engineers. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.       Show more",Full-time,Information Technology,,Data Engineer
Delman.io,22 hours ago,<25,Associate,Information Technology and Services,"Responsibility Build, launch and maintain efficient & reliable large-scale batch and real-time data pipelines, including integration of online & offline data marts to streamline data warehouse architecture Exchange, Transform and Load (ETL) various sources of data into a centralized cloud data lake for various business Help our Data Scientists to improve their research workflow and access to automation Collaborate with different functional teams to ensure that new products & features are ingested accordingly Requirements 1-3 years of experience as a data engineer or back-end engineer Proficient with Python or Java and SQL Familiar with ETL and creating data pipeline Experience in implementing and optimizing data pipeline (Data Engineers) Familiar with Agile and sprint planning expect: Flexible working hours Dedicated mentoring, including by ex-Silicon Valley founders We are fully remote in this pandemic times Show more",Full-time,"Information Technology,Engineering",,Data Engineer
Emtrade,2 months ago,<25,Entry level,,"Job Description Mendeskripsikan, membuat prototipe dan menerapkan model data sains Menentukan masalah dan hipotesis, mengembangkan rekomendasi dan alat pendukung untuk mengembangkan bisnis perusahaan      Show more",Full-time,Information Technology,,Data Engineer
iSeller,1 month ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","We are looking for a savvy data engineer to join our growing team. You will use various methods to transform raw data from multiple sources into useful data systems.  To succeed in this data engineering position, you should have strong analytical skills and the ability to combine data from different sources. Data engineer skills also include familiarity with several programming languages and knowledge of learning machine methods. Overall, you’ll strive for efficiency by aligning data systems with business goals.  If you are detail-oriented, with excellent organizational skills and experience in this field, we’d like to hear from you.      Show more",Full-time,Information Technology,,Data Engineer
Gramedia e-Perpust,1 month ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description Design and manage Data warehouse plan for a product, such as: design data model, define data metric, data governance and so on Work with BI, business team, PM team, use data to solve problems, identify needs and opportunities     Show more",Full-time,Information Technology,,Data Engineer
PT. Astra Welab Digital Arta,1 month ago,<25,Entry level,"Information Technology and Services,Banking,Financial Services",Collecting and interpreting data Analysing results Reporting the results back to the relevant members of the business Identifying patterns and trends in data sets    Show more,Full-time,Information Technology,,Data Engineer
OrderOnline.id,3 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description Collect data source from Big Data Platform (BDP) and Main Databases for development and reporting. Develop data mart and analytic tools environment, including database structure (tables, views, stored procedure, job scheduler) - which will be used by Data Analyst.       Show more",Full-time,Information Technology,,Data Engineer
Niagahoster,2 days ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description  & requirements We are Niagahoster, a tech company based in Yogyakarta that provides web-hosting services. To make Niagahoster's analytics database and data pipeline is well forged on a solid and reliable architecture, we need a Data Engineer. If you are ready to be our Data Engineer, join our team now!              Data Warehouse Javascript Java Python Data Science Data Management Data Mining Show more",Full-time,Information Technology,,Data Engineer
PT Koltiva,4 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description  At Koltiva we rely on powerfully insightful data to inform our systems and solutions—and we’re seeking an experienced pipeline-centric data engineer to put it to use. You’ll wear many hats in this role, but much of your focus will be building out our ETL processes, writing superb SQL and managing Data Infrastructure. We’re looking for someone willing to jump right in to help the company get the most out of our data.        Show more",Full-time,Information Technology,,Data Engineer
PT Astra Graphia Information Technology,2 months ago,28,Entry level,Information Technology and Services,"Company Description: AGIT is a Digital Service Provider, provides one stop Solution on Digital Services. Since 1983, AGIT is part of PT Astra International Tbk Group, a conglomeration company in Indonesia that currently has 212 subsidiaries and affiliate companies with 7 line of businesses (automotive, financial services, heavy equipment, agribusiness, information technology, infrastructure & logistics, and property). AGIT itself is owned 100% by PT Astra Graphia Tbk. As a Digital Service Provider, AGIT has transformed its business not only focusing on providing ICT infrastructure and application related services but more towards on what we called as a One-Stop-Solutions on Digital Services, both in on-premise and cloud infrastructure model. We bring the concept of digitize things (digitize everything), to help and to assist our customers in performing their digital transformation through the implementation on digital technology & digital solutions. We have four main pillars in our Digital Solution Portfolios that cover the entire journey required to conduct digital transformation starting from Digital Strategy, Digital ICT Foundation, Digital Platform, and Digital Services. Job Description: Data Engineer Show more",Full-time,Information Technology,,Data Engineer
Sinbad,2 days ago,<25,Entry level,Logistics and Supply Chain,"As a Data Engineer, you will be joining a cool team of data engineers and fanatics, conducting research and applying the latest technologies in the function of our customer needs. You will have the responsibility to design, build, support, and maintain scalable infrastructure to optimize data flow. You will be a key contributor in driving Sinbad’s mission to simplify the supply chain by connecting suppliers and traditional retailers through the use of data.   Build efficient ETL/ELT pipelines from various data sources to destinations using the industry’s best practices. Diagnose data issues in the pipelines, and develop effective long term solutions.  Perform ad-hoc analysis of Sinbad’s database in order to identify and recommend improvements and optimization. Analyze complex data, systems, data flow, and dependencies to provide actionable insights into customer acquisitions, operational efficiency, and key business performance metrics.  Design, build, monitor and maintain a highly scalable data infrastructure. Monitor and debug the infrastructure to ensure efficient overall data architecture.  Build testable, maintainable codes, and promote lean code documentations, as well as continuously improving the quality of the database to be used for business analytics.  Able to articulate the data findings into qualitative determinations that can be used for decision making and prioritization.  Work closely with the Product, Technology and Business departments to create creative solutions using data technology. Basic Requirements  Bachelor degree in Information System, Computer Science, Statistics, or relevant field  3+ years experience working in a Data-related field  Expert in SQL and DWH concept  Python, Scala, Java  BigQuery, Redshift  Airflow, Kafka, Luigi  Pub/Sub, Kafka, Amazon Kinesis  Experience in building and optimizing data pipelines, architectures and data sets  Experience in processing and answering specific business questions and identifying opportunities for improvement  Fluent in both English & Bahasa Indonesia, competent reading and writing abilities in both languages    Familiarity with NoSQL (MongoDB, Cassandra)  Exposure with BI tools (Redash, Data Studio, Tableau)  Exposure to Dev-Ops  Previous experience in E-Commerce, Logistics, and/or Fintech platforms  Excited to work in a start-up environment  Excellent verbal, written, and interpersonal communication skills  Critical thinking with problem-solving skills  Show more",Full-time,Information Technology,,Data Engineer
Modal Rakyat,2 months ago,<25,Entry level,"Banking,Financial Services,Investment Banking",Troubleshooting inkonsistensi data ketika terjadi problem dan anomali Mengembangkan management Data Warehouse (DWH) dan Data Lake (DL) Mengembangkan framework otomatisasi proses ETL/ELT data    Show more,Full-time,Information Technology,,Data Engineer
Pt. Citra Kreasi Hutama,3 weeks ago,<25,Associate,,"Req  Min 1-2 years experience as Data Engineer  Min Bachelor Degree from I Advancd experience on SQL Server, SSIS , Airflow, and PowerBI  Job Description : Developing, constructing, testing and maintaining data architectures. Analysing and interpreting large data sets. Aligning data access and presentation to business requirements. Using a range of programming languages and data analysis tools. Using data to increase efficiency and illustrate and achieve business goals. Building tools for easier data access and interpretation. Conducting data analysis and preparing reports. Testing and deploying advanced data analysis tools and techniques such as algorithms and machine learning. Technical Requirement Data Engineers have advanced analytics and programming skills, and typically work with programming languages like SQL, Python and Java, power BI, SSAS Employed by technology companies or in the IT department of organisations where large amounts of data are stored. Familiar with the ssis, Azure, Nifi & Airflow Show more",Full-time,Consulting,,Data Engineer
Vidio,2 months ago,<25,Mid-Senior level,"Marketing and Advertising,Online Media,Computer Software","RESPONSIBILITIES: Responsible to collect, clean, analyze, provide insights from data, real-time or periodically, and communicate the findings to different teams or stakeholders in the company Answer questions by using appropriate statistical techniques on available data Work with various internal and 3rd-party data sources Provide support for employees from other departments working on problems involving data Lead the way about tools, trends, technologies, and sharing the knowledge to community Mentor and grow developers by cultivating curiosity and deep technical understanding.  REQUIREMENTS: Bachelor's or Master's degree in a quantitative field An insatiable passion for solving analytical problems using quantitative approaches Comfort manipulating and analyzing large data sets from varying sources Ability to balance a fast-paced working environment with the need for precision Ability to work both independently and collaboratively within a team Fluency with at least one scripting language such as Python, Scala Experience with relational databases and SQL Experience with data analysis tools such as Apache Zeppelin, Apache Spark, Apache Beam Strong complex problem-solving skills Great communication skills Past mentorship of other engineers within an organization, showing mutual growth. Bonus points for: Familiarity with distributed system technologies such as Hadoop and NoSQL databases Have collaborated with other scientists in publishing statistical models for the greater good Good English skill - both in written and speaking Show more",Full-time,"Information Technology,Engineering",,Data Engineer
PT Solman Manunggal Informatika,3 weeks ago,<25,Associate,Information Technology and Services,"What You'll Learn Strengthen your data engineering skills- You'll learn how to write clean code by adhering to our programming best practices and guidelines- Improve on linking server-side logic with a better end-user experience-  Build a user-friendly interface- Hone your skills in data engineer , data analyst & data scienceDevelop your problem-solving skills and be a team player- You’ll have the opportunity to solve challenging problems with the other developers in the team- As you’ll be collaborating closely with designers, front-end developers and project managers to improve the user experience, you’d learn to be a better team player.Learn the latest industry trends and technologies- By working in our company, you’ll be exposed to the latest industry trends.- You’ll also get the opportunity to work with the latest technologies. Job Description Design and develop of new Datawarehouse systems and pipeline including setting up process for data flows automation from various sources Build and maintain ETL pipeline, and executing advanced SQL queries for data requests Work collaboratively with data scientist and engineering team for development and new features release Enormous sense of ownership in handling data engineering capabilities within the growing data team that drives business decisions and product development Key of advantage Applicant : Skilled in Python or Java  Solid experience in database designing, preferably in MySQL Experienced with a diverse set of data technologies. Strong in SQL and ETL skills is a mus Experienced in setting up and managing cloud services in at least one of the major cloud solutions providers. Excellent written and verbal communication, able to switch between technical and plain language when discussing work Analytical, innovative and entrepreneurial thinker Show more",Full-time,Information Technology,,Data Engineer
Computrade Technology,3 weeks ago,<25,Entry level,Warehousing,"Responsibilities  Presentation, create proposal and high level design  Develop and maintain POC, implementation, maintenance and documentations  Familiar with database and hardware  Familiar with business use case or business process  Able to analyze and troubleshoot if problem occur  Provide transfer knowledge to customer and internal    At least 1 or 2 years of experience in database, noSQL, Graph DB  Experience with database architectures and IT infrastructures  Familiar with big data and data warehouse concepts or similar technology  Familiar with open source/linux concept and hands on  Knowledge in network and security is a plus  Hardworker and able to work under pressure  Have the ability to work independently with minimum supervision and work as a team  Show more",Full-time,Information Technology,,Data Engineer
Traveloka,4 months ago,47,Not Applicable,Internet,"Traveloka is a Southeast Asian internet unicorn focused on travel and mobility. Currently valued at over $4B USD after 7 years, we're rapidly expanding in the region and globally. Today Traveloka is expanding its reach by operating in seven countries and experimenting with new endeavors that will create a large impact in the markets and industries we touch. The Data team at Traveloka consists of Analytics, Data Platform, Data Science, Machine Learning / AI groups, individually comprising expansively diverse team of data engineers, data analysts, data scientists, and product managers. The Core Data Engineering team, a branch of the Data Platform group, builds, maintains, and streamlines data pipelines and services that ingest event streams, processes millions of events as well as data points per minute, and build near real-time service-to-service low-latency APIs / event streams to serve aggregated / non-aggregated user, product, and other collection of data to various product services across business units.  Responsibilities: Communicate effectively with the local and remote team members. Get a good grasp of business mechanics, concepts, and use them effectively to scope projects. Level up the team, conduct code reviews, drive code quality and performance initiatives to ensure that not only services that serve 1000+ Requests Per Second can continue to do so, but also those services and systems remain testable. Translate product ideas from the PMs and stakeholders to come up with a quick first iteration of a working system. Lead technical discussions, provide guidance to junior engineers, pair with them, solve their technical queries, and offload low to moderately complex design decisions from the seniors. Contribute to the team’s collective knowledge goals by teaching your learning, discoveries, and your past work experiences. Technical Qualifications: Methodical problem solving capabilities and detail-oriented. Strong knowledge of software engineering concepts, design patterns, and algorithms. Strong hands-on proficiency of at least one programming language such as Go, Python, Java, Scala or any other JVM based language. Polyglot programming background. Strong hands-on knowledge as well as application of different testing methods and practices. Knowledgeable in the best practices of logging, alerting, monitoring and debugging. Proven experiences in the evaluation and application of multiple types of cloud data stores including optimization of query bottlenecks. Advanced proficiency in Git, Continuous Integration/Continuous Delivery (can differentiate between them), and deployment automation. Undergraduate / Postgraduate in Computer Science from a reputable institution or equivalent work background. Nice-to-Haves Has programmed extensively in Golang and related frameworks. Own systems knowledge and background in GCP such as Big Query, Big Table, Data Flow. Possess strong knowledge of terraform-ing your infrastructure on either GCP or AWS. Have developed and managed at least one latency-critical real-time data pipeline that ingested & served millions of events. Have designed and scaled several services of varying levels of scale with intimate knowledge. Show more",Full-time,Information Technology,,Data Engineer
Bibit,1 month ago,<25,Entry level,"Information Technology and Services,Computer Software,Financial Services",Responsibilities Construct and maintain efficient data pipelines + warehouses for data collection Develop necessary scripts/mini-apps to run data analysis    Show more,Full-time,Information Technology,,Data Engineer
The Fepi,2 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Develop/Update Database Logic based on Oracle programming to high-performance integrated data pipelines (Integrated Customer View, Order management, Warehouse management, Dashboard Setting) Implement Best Logical Database to be able to quickly and accurately execute all the data that occurs in the business. Show more",Full-time,Information Technology,,Data Engineer
99.co,2 months ago,<25,Entry level,"Marketing and Advertising,Information Technology and Services,Computer Software","What You Will Do Maintain, fix, and optimize including automation of end-to-end data flow or pipeline. Learn new innovative technologies to solve problems.    Show more",Full-time,Information Technology,,Data Engineer
Akseleran,1 month ago,<25,Entry level,"Information Technology and Services,Computer Software,Financial Services","Deliver and maintain operational report Design, implement and manage end to end data pipelines (ETL, data streaming and data warehousing) to make data easily accessible for analysis    Show more",Full-time,Information Technology,,Data Engineer
Accelbyte,3 weeks ago,<25,Entry level,Warehousing,"Come join us! We are a fast growing and well-funded U.S. based startup in Seattle, Washington with teams in Vancouver, Canada, Singapore and a growing office in Yogyakarta in Indonesia. Founded by industry veterans from EA, LucasArts, and EpicGames, who built the online backends for well-known titles and platforms such as EA Origin, FIFA, StarWars.com, UnrealEngine, Fortnite, Paragon and UnrealTournament. Our company develops technology for the major well known online game studios and publishers across the USA, Europe, and the world.    We are building the next generation of a scalable online backend platform for AAA games that includes the fully licensable source code as well as offering specialized engineers to customize the code for a studio's game so they can focus on making their game fun.  While many games can use off the shelf solutions and inject simple logic into a closed source backend platforms, we believe this leads to overly complex logic that pushes logic on to the game client which is harder to update quickly. For this reason we believe that having the full source code and development resources to tailor it to a specific game leads to a better player experience and is one of the core benefits of our platform.    In this position, you will work with with us to help design, develop, provision and deploy on cloud infrastructure technologies specifically for data streaming/warehousing pipelines, operational monitoring systems, deployment systems, security as well as working closely with data scientist and engineers to ensure best practices are being used in using/applying implementation to this data warehouse/pipeline.        Location: Yogyakarta, Indonesia.  AccelByte Inc is an Equal Employment Opportunity Employer, all qualified candidates applicants will receive consideration for employment without regard to race, religion, gender, national origin, sexual orientation, marital status, age or disability. Our culture is of innovation, inclusive, and we value our people highest.  Please visit our career page for a complete listing of our open positions:  https://accelbyte.io/careers  Show more",Full-time,Information Technology,,Data Engineer
Alodokter,3 days ago,<25,Associate,"Information Technology and Services,Computer Software,Internet","Manage the growth and delivery of the Data Engineering team as well as internal communications on dataflows and architecture. Design, build and maintain highly scalable pipeline(end-to-end) for large volumes of complex data processing andanalysis within a cloud-based ecosystem.                 Hands on experience in    Show more",Full-time,Information Technology,,Data Engineer
PT Swift Logistics Solutions,1 week ago,<25,Entry level,"Information Technology and Services,Computer Software,Logistics and Supply Chain","Job Description Build, deploy, and maintain models Develop data pipelines and making sure of data's reliability using automated testing    Show more",Full-time,Information Technology,,Data Engineer
Futuready.com,2 months ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Requirements Bachelor degree or above in Statistics, Computer Science, Quantitative Marketing, Economics, or other quantitative disciplines (Master a plus) Knowledge of web analytics tools such as Google Analytics, Google BigQuery & Google Tag Manager.          Show more",Full-time,Information Technology,,Data Engineer
Shipper,1 week ago,<25,Entry level,Logistics and Supply Chain,What Will You Do Design and develop regular reports and actionable dashboards to track business performance Responsible for advanced data analytics and statistical modeling to extract insights from data that results in better logistics services      Show more,Full-time,Information Technology,,Data Engineer
Modal Rakyat,3 days ago,<25,Entry level,Warehousing,"Troubleshooting inkonsistensi data ketika terjadi problem dan anomali  Mengembangkan management Data Warehouse (DWH) dan Data Lake (DL)  Mengembangkan framework otomatisasi proses ETL/ELT data  Membuat perancangan struktur data yang baik menyesuaikan dengan proses, requirement dan analisa bisnis  Mengembangkan solusi skala besar dalam infrastruktur data bersama dengan tim Devops  Membuat Replikasi, Master-Slave Realtime, Master-Slave Delta-1, Hot Backup dan SQL Dump  Membuat simple analitik dan statistik serta membantu request penarikan data dari divisi lain  Pemeliharaan Data Center (DC) and Data Recovery Center (DRC) secara berkala  Membuat disaster plan, perencanaan kapasitas dan simulasi penanganan permasalahan database  Membantu mengimplementasikan kepatuhan ISO 27001:2013 kedalam akses dan keamanan data Menguasai bahasa pemrograman Python dan R  Menguasai Amazon Redshift, Apache Airflow, Apache Spark dan EMR  Menguasai RDBMS database yakni MySQL, PostgreSQL dan Microsoft SQL Server  Menguasai No SQL database dan storage yakni MongoDB dan Redis  Memahami konfigurasi Kubernetes dan Docker dalam infrastruktur data  Memahami komputasi Cloud Seperti AWS, Azure, Alicloud dan GCP  Menguasai shell linux dan windows serta git  Nilai tambah jika Menguasai Metabase dan Tableau  Memiliki pengetahuan yang baik dalam bidang matematika dan statistik  Memiliki pengalaman dalam bidang yang sama minimal 3 tahun  Minimal lulusan Sarjana S1 atau lebih tinggi  Show more",Full-time,Information Technology,,Data Engineer
Pt Multipolar Technology Tbk,2 days ago,<25,Entry level,Warehousing,"Scope Of Work Involved in gathering users’ requirement, analysing and designing data warehouse model according to the requirements. Creating and developing ETL process related to the Data Warehouse.      Show more",Full-time,Information Technology,,Data Engineer
PT Global Pay Indonesia,2 weeks ago,<25,Entry level,Information Technology and Services,"Company Description: PT Global Pay Indonesia is a digital payment service company, one of the services is Shopping Payment Request (""SPR""), enabling people to do payment transaction safely and simply with only to do a simple taps and steps from their smartphone. PT Global Pay Indonesia is a fintech startup arms, a part of Digital Money Group (Dimo) and a member of Sinarmas Digital Ventures Group (SMDV). Job Description: Show more",Full-time,Information Technology,,Data Engineer
iSearch Indonesia,3 days ago,<25,Mid-Senior level,,"iSearch Indonesia looking for great talent for our partners in Multinational FMCG with requirement:  Bachelor Degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field Show more",Full-time,"Engineering,Information Technology",,Data Engineer
Pt Puriasri Bhaktikarya,3 weeks ago,<25,Entry level,Warehousing,Persyaratan  Responsibilities  Tanggung Jawab          Show more,Full-time,Information Technology,,Data Engineer
TreeDots,2 months ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description & Requirements  Get to know our Team:  TreeDots is a platform that helps to redistribute unsold inventories in the F&B market from suppliers to businesses like restaurants, cafe etc. Through this platform, we aim to improve efficiency and productivity of F&B users to achieve more with less resources and preventing any unnecessary wastage.  We are a venture backed growth stage startup team that is passionate about food and have a desire to make sure food is continuously produce in a sustainable way. Our culture is transparent, honest and direct where you will always know what's going on and why it furthers our mission. You will work closely with the Founders to build a technology that the world has yet to see.  We are serving the future of food and we are looking for champions to join us to deliver great value products to our users. You will be working in an agile and test driven development environment, given the autonomy to plan and design a perfect product for the industry that delights and engage the users.  We are looking to create an innovative platform that helps to digitise the existing offline Business to Business (B2B) market which required the talents of the champions. Breaking this market with a digital platform is tough, and has yet to be cracked, but we believe with your talent, it can be done and it will be a rewarding experience.      Show more",Full-time,Information Technology,,Data Engineer
Jobs MNC,4 months ago,<25,Entry level,"Marketing and Advertising,Information Technology and Services,Computer Software","Requirements Bachelor’s degree in Computer Engineering/Computer Science or related field. Minimum 2 years experiences in ETL developer, Data engineer, or Data Warehouse developer role Show more",Contract,Information Technology,,Data Engineer
Niagahoster,2 weeks ago,<25,Mid-Senior level,Information Technology and Services,"We are Niagahoster, a tech company based in Yogyakarta that provides web-hosting services. To make Niagahoster's analytics database and data pipeline is well forged on a solid and reliable architecture, we need a Data Engineer. If you are ready to be our Data Engineer, join our team now!Responsibilities: Construct datasets that are easy to analyze and support company requirements; Analyzing raw data; Improving data quality and efficiency; Build data systems and pipelines; Evaluate business needs and objectives; Interpret trends and patterns; Combine raw information from different sources; Explore ways to enhance data quality and reliability. Daily duties will typically include: Develops, constructs tests and maintains architectures, such as databases and large-scale processing systems thus enable seamless data collection & analysis; Recommend and implement method to improve data reliability, efficiency, and quality; Develop data set processes for data modeling, mining, and production. Requirements: Previous experience as a data engineer or in a similar role; Technical expertise with data models, data mining, and segmentation techniques; Knowledge of programming languages (e.g. Java and Python); Hands-on experience with SQL database design; Great numerical and analytical skills; Excellent problem solving and troubleshooting skills. Working Advantages: Have flexible work hours; Enjoy working remotely (from anywhere in Indonesia); Be a part of an inspiring working culture; Enjoy being surrounded by smart and driven people; Access to reference books, training courses, and international conferences to support your professional development; Benefit from other motivational perks such as birthday prize, lottery, a special gift for the best team member, and much more! Leave your mark within an international working environment to scale up your professional journey and discover the best version of yourself. Step Up Your Game and be a PRO! Show more",Full-time,Information Technology,,Data Engineer
Kisah Kreatif,2 months ago,26,Associate,"Marketing and Advertising,Information Technology and Services,Computer Software","Kisah Kreatif Creative Digital Agency Looking for Freelance Data Engineer to work on our Big Data Project,  Have 2 years experience in Related skill and already have experience working on similiar project www.kisahkreatif.com instagram.com/kisahkreatif Show more",Full-time,Information Technology,,Data Engineer
Ajaib,2 weeks ago,<25,Entry level,"Computer Software,Internet,Financial Services","Job Description Design, develop, test and maintain highly scalable data infrastructure (Analytics Architecture) Build high-performance integrated data pipelines (Integrated Customer View).    Show more",Full-time,Information Technology,,Data Engineer
Jobs MNC,4 months ago,<25,Entry level,"Marketing and Advertising,Information Technology and Services,Computer Software","Requirements Bachelor`s degree in Computer Engineering/Computer Science or related field. Minimum 2 years experiences in ETL developer, Data engineer, or Data Warehouse developer role Show more",Contract,Information Technology,,Data Engineer
Mnc,3 weeks ago,<25,Entry level,Warehousing,"Requirements Bachelor’s degree in Computer Engineering/Computer Science or related field. Minimum 2 years experiences in ETL developer, Data engineer, or Data Warehouse developer role     Education Level : S1  Job Level : Officer  Job Function : Application Specialist - Software / Programming  Job Type : Contract  Job Location : Jakarta  Work Experience : 2 Year  Show more",Full-time,Information Technology,,Data Engineer
Brick,3 weeks ago,<25,Entry level,,"Job Description  & requirements  About Us  Brick () is an early stage financial infrastructure startup supported by some of the leading VCs in Southeast Asia.  The Brick team has been rethinking financial services at top fintech the past 9 years. Now, we are on a mission to democratize financial services in Southeast Asia - by empowering innovators to build amazing products and solve big problems - starting with financial data APIs that allow fintech developers to create easy and accessible experiences for their users    We are looking for a savvy Data Engineer to join our growing team of software engineers. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.        Java Data Analysis Data Management Data Mining Data Science Databases Big Data Data Entry Show more",Full-time,Information Technology,,Data Engineer
Kitabisa.com,3 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Kitabisa.com is Indonesia's most popular fundraising and donation platform for social causes. Since 2013 we've facilitated more than 145.000 campaigns, collecting more than IDR 955bio donations from > 2,8mio community of #orangbaik.  We are looking for a passionate and skilled individual to join our team as a Big Data Engineer.         Show more",Full-time,"Engineering,Information Technology",,Data Engineer
